,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
0,FB220225C00100000,100,USD,105.58,0,0,1,2,101.7,102,REGULAR,02/25/2022,02/18/2022,1.00E-05,TRUE
1,FB220225C00145000,145,USD,63.9,0,0,2,6,56,57.6,REGULAR,02/25/2022,02/18/2022,1.809571265,TRUE
2,FB220225C00150000,150,USD,57.36,0,0,1,1,51.45,52.25,REGULAR,02/25/2022,02/18/2022,1.367190664,TRUE
3,FB220225C00160000,160,USD,41.98,-4.220001,-9.134202,3,4,41.6,42.25,REGULAR,02/25/2022,02/22/2022,1.107426338,TRUE
4,FB220225C00165000,165,USD,60.4,0,0,,1,36.3,37.55,REGULAR,02/25/2022,02/14/2022,1.177738486,TRUE
5,FB220225C00170000,170,USD,31.88,-4.42,-12.176309,8,17,31.6,32.6,REGULAR,02/25/2022,02/22/2022,0.640628594,TRUE
6,FB220225C00175000,175,USD,29.82,-11.529999,-27.883915,3,2,26.45,27.7,REGULAR,02/25/2022,02/22/2022,0.950684087,TRUE
7,FB220225C00180000,180,USD,23.14,-3.3199997,-12.54724,30,14,21.55,22.1,REGULAR,02/25/2022,02/22/2022,0.445318047,TRUE
8,FB220225C00182500,182.5,USD,19.29,-6.3599987,-24.795317,15,8,18.95,20.35,REGULAR,02/25/2022,02/22/2022,0.772951489,TRUE
9,FB220225C00185000,185,USD,19.9,-6.1000004,-23.46154,17,13,16.95,17.85,REGULAR,02/25/2022,02/22/2022,0.557133335,TRUE
10,FB220225C00187500,187.5,USD,15.75,-4.3500004,-21.641792,30,45,14.7,15,REGULAR,02/25/2022,02/22/2022,0.523442266,TRUE
11,FB220225C00190000,190,USD,12.55,-3.96,-23.985464,341,227,12.5,12.75,REGULAR,02/25/2022,02/22/2022,0.51611812,TRUE
12,FB220225C00192500,192.5,USD,10.07,-4.7300005,-31.959463,54,51,10.35,10.6,REGULAR,02/25/2022,02/22/2022,0.506352593,TRUE
13,FB220225C00195000,195,USD,8.25,-4,-32.65306,215,106,8.3,8.5,REGULAR,02/25/2022,02/22/2022,0.482915327,TRUE
14,FB220225C00197500,197.5,USD,6.4,-4.2000003,-39.622643,202,171,6.45,6.55,REGULAR,02/25/2022,02/22/2022,0.459478062,TRUE
15,FB220225C00200000,200,USD,4.95,-3.8500004,-43.750004,4778,506,4.9,5,REGULAR,02/25/2022,02/22/2022,0.461187029,TRUE
16,FB220225C00202500,202.5,USD,3.5,-3.54,-50.284092,4300,220,3.5,3.55,REGULAR,02/25/2022,02/22/2022,0.444585632,FALSE
17,FB220225C00205000,205,USD,2.39,-3.11,-56.545456,13505,719,2.38,2.42,REGULAR,02/25/2022,02/22/2022,0.435064243,FALSE
18,FB220225C00207500,207.5,USD,1.56,-2.5900002,-62.409637,10423,1543,1.53,1.56,REGULAR,02/25/2022,02/22/2022,0.426519407,FALSE
19,FB220225C00210000,210,USD,0.98,-2.12,-68.3871,23803,5862,0.98,0.99,REGULAR,02/25/2022,02/22/2022,0.426275269,FALSE
20,FB220225C00212500,212.5,USD,0.59,-1.6400001,-73.54261,5429,1674,0.57,0.61,REGULAR,02/25/2022,02/22/2022,0.428228374,FALSE
21,FB220225C00215000,215,USD,0.36,-1.1999999,-76.92307,18344,6229,0.35,0.38,REGULAR,02/25/2022,02/22/2022,0.43555252,FALSE
22,FB220225C00217500,217.5,USD,0.23,-0.81999993,-78.09524,5286,1889,0.22,0.24,REGULAR,02/25/2022,02/22/2022,0.445318047,FALSE
23,FB220225C00220000,220,USD,0.15,-0.58000004,-79.45206,12181,11141,0.14,0.15,REGULAR,02/25/2022,02/22/2022,0.455083574,FALSE
24,FB220225C00222500,222.5,USD,0.1,-0.4,-80,2497,2629,0.1,0.11,REGULAR,02/25/2022,02/22/2022,0.47852084,FALSE
25,FB220225C00225000,225,USD,0.08,-0.26999998,-77.14286,3277,6399,0.07,0.08,REGULAR,02/25/2022,02/22/2022,0.498051895,FALSE
26,FB220225C00227500,227.5,USD,0.06,-0.19999999,-76.92307,5887,2321,0.05,0.06,REGULAR,02/25/2022,02/22/2022,0.511723633,FALSE
27,FB220225C00230000,230,USD,0.04,-0.16,-79.99999,8018,7097,0.04,0.05,REGULAR,02/25/2022,02/22/2022,0.539067109,FALSE
28,FB220225C00232500,232.5,USD,0.04,-0.11000001,-73.333336,4430,1909,0.03,0.04,REGULAR,02/25/2022,02/22/2022,0.558598164,FALSE
29,FB220225C00235000,235,USD,0.03,-0.099999994,-76.92307,1642,3248,0.03,0.04,REGULAR,02/25/2022,02/22/2022,0.597660273,FALSE
