,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
0,SPY220225C00300000,300.0,USD,127.91,0.0,0.0,20.0,15,117.07,117.35,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645555330 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
1,SPY220225C00345000,345.0,USD,69.58,-15.400002,-18.121912,2.0,1,71.93,72.23,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645715390 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
2,SPY220225C00350000,350.0,USD,68.59,-41.060005,-37.446423,14.0,1,66.94,67.35,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645721881 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
3,SPY220225C00355000,355.0,USD,58.67,-36.25,-38.190056,8.0,8,61.63,61.94,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645715169 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
4,SPY220225C00360000,360.0,USD,55.06,-24.850002,-31.097486,3.0,0,57.05,57.43,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645717019 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
5,SPY220225C00363000,363.0,USD,83.72,0.0,0.0,,10,53.61,54.0,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645043563 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
6,SPY220225C00365000,365.0,USD,85.92,0.0,0.0,,2,51.91,52.19,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1644815365 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
7,SPY220225C00369000,369.0,USD,48.81,-25.310001,-34.14733,4.0,10,47.96,48.18,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645720471 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
8,SPY220225C00370000,370.0,USD,51.78,0.0,0.0,42.0,50,46.6,46.98,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645649642 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
9,SPY220225C00371000,371.0,USD,47.15,-28.760002,-37.886974,8.0,10,45.63,46.08,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645721810 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
10,SPY220225C00372000,372.0,USD,65.73,0.0,0.0,,10,44.93,45.25,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1644864782 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
11,SPY220225C00375000,375.0,USD,41.8,-34.01,-44.862152,4.0,3,41.4,41.78,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645717750 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
12,SPY220225C00376000,376.0,USD,41.97,-19.759998,-32.010365,17.0,1,40.55,40.75,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645726431 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
13,SPY220225C00377000,377.0,USD,48.82,0.0,0.0,10.0,10,40.0,40.19,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645643500 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
14,SPY220225C00378000,378.0,USD,67.8,0.0,0.0,,10,38.79,39.04,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1644941702 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
15,SPY220225C00379000,379.0,USD,40.23,-24.23,-37.589203,6.0,10,38.2,38.43,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645719544 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
16,SPY220225C00380000,380.0,USD,35.7,-6.1800003,-14.756447,14.0,14,36.5,36.84,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645713532 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
