,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
0,AAPL220225C00105000,105.0,USD,57.35,0.0,0.0,3.0,2.0,57.9,58.05,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645718019 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
1,AAPL220225C00110000,110.0,USD,64.5,0.0,0.0,4.0,0.0,53.05,53.2,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1643919294 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
2,AAPL220225C00115000,115.0,USD,45.8,0.0,0.0,4.0,6.0,48.1,48.25,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645729685 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
3,AAPL220225C00120000,120.0,USD,33.6,0.0,0.0,1.0,2.0,43.0,43.25,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645713193 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
4,AAPL220225C00125000,125.0,USD,39.43,0.0,0.0,1.0,5.0,37.85,38.05,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645550776 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
5,AAPL220225C00130000,130.0,USD,26.93,0.0,0.0,26.0,185.0,32.95,33.25,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645718439 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
6,AAPL220225C00135000,135.0,USD,27.25,4.799999,21.380842,2.0,46.0,27.85,28.05,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645803723 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
7,AAPL220225C00140000,140.0,USD,22.05,0.01999855,0.09077871,93.0,309.0,22.85,23.05,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645803315 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
8,AAPL220225C00144000,144.0,,16.9,0.0,0.0,,,19.15,19.7,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645734015 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.2460975195312498,True
9,AAPL220225C00145000,145.0,USD,17.3,0.5999985,3.5928051,1.0,123.0,17.95,18.15,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645734939 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
10,AAPL220225C00146000,146.0,USD,16.27,2.5700006,18.759129,1.0,52.0,16.85,17.05,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645799624 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
