,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
0,MSFT220225C00200000,200.0,USD,95.5,2.800003,3.0204997,6.0,11,95.35,95.6,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645801997 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
1,MSFT220225C00205000,205.0,USD,82.35,0.0,0.0,19.0,16,90.4,90.7,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645728552 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
2,MSFT220225C00210000,210.0,USD,84.45,10.159996,13.676129,4.0,46,85.25,85.55,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645726314 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
3,MSFT220225C00230000,230.0,USD,55.4,0.0,0.0,3.0,2,64.8,66.15,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645719671 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",2.2460981347656244,True
4,MSFT220225C00235000,235.0,USD,52.9,0.0,0.0,1.0,0,59.9,61.15,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1644850936 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",2.0781298046874994,True
5,MSFT220225C00240000,240.0,USD,46.25,0.0,0.0,1.0,10,54.8,56.05,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645728484 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.703126484375,True
6,MSFT220225C00245000,245.0,USD,39.64,0.0,0.0,4.0,6,39.65,41.9,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1643044386 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
7,MSFT220225C00250000,250.0,USD,44.35,10.75,31.99405,5.0,13,44.9,45.85,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645802604 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
8,MSFT220225C00255000,255.0,USD,19.65,0.0,0.0,3.0,4,39.9,40.9,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645713332 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
9,MSFT220225C00257500,257.5,USD,27.95,0.0,0.0,66.0,66,37.4,38.6,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645729780 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.2773473632812498,True
10,MSFT220225C00260000,260.0,USD,30.43,0.0,0.0,216.0,127,34.9,35.9,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645733513 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
11,MSFT220225C00262500,262.5,USD,31.05,15.099999,94.670845,6.0,15,32.55,33.3,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645714449 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
12,MSFT220225C00265000,265.0,USD,25.1,0.0,0.0,34.0,50,29.95,31.05,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645732968 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",0.9726565234375,True
13,MSFT220225C00267500,267.5,USD,14.55,0.0,0.0,43.0,18,27.3,28.55,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645723452 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",0.8984385156249999,True
14,MSFT220225C00270000,270.0,USD,24.7,-0.19999886,-0.8032083,5.0,85,25.0,25.85,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645801744 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
15,MSFT220225C00272500,272.5,USD,22.58,0.5799999,2.6363633,1.0,103,22.35,23.4,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645803825 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
16,MSFT220225C00275000,275.0,USD,19.04,-0.45999908,-2.3589697,125.0,380,20.05,21.0,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645803546 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",0.585941640625,True
17,MSFT220225C00277500,277.5,USD,17.8,0.9299984,5.512735,27.0,576,17.55,18.25,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645803172 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
18,MSFT220225C00280000,280.0,USD,15.8,1.2399998,8.516481,126.0,1171,15.15,15.65,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645804385 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
19,MSFT220225C00282500,282.5,USD,13.0,0.8000002,6.5573783,103.0,1040,12.7,13.15,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645804691 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
20,MSFT220225C00285000,285.0,USD,10.41,0.65999985,6.7692294,277.0,1933,10.2,10.7,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645804524 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
21,MSFT220225C00287500,287.5,USD,8.49,0.5799999,7.3324895,421.0,1638,7.7,8.15,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645804208 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True
