,contractSymbol,strike,currency,lastPrice,change,percentChange,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,volume
0,VOO220318C00310000,310.0,USD,110.08,0.0,0.0,3,87.2,89.8,REGULAR,"=TEXT(((1647561600 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1644815408 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.0000000000000003e-05,True,
1,VOO220318C00330000,330.0,USD,76.21,0.0,0.0,1,67.0,70.4,REGULAR,"=TEXT(((1647561600 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1643224472 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",0.43530838134765626,True,1.0
2,VOO220318C00350000,350.0,USD,49.0,0.0,0.0,1,48.1,51.2,REGULAR,"=TEXT(((1647561600 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645560669 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",0.39124143920898435,True,2.0
3,VOO220318C00360000,360.0,USD,43.4,0.0,0.0,31,40.0,40.9,REGULAR,"=TEXT(((1647561600 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645214896 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",0.30652548950195313,True,31.0
4,VOO220318C00370000,370.0,USD,20.52,0.0,0.0,2,30.3,31.8,REGULAR,"=TEXT(((1647561600 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645720631 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",0.291877198486328,True,2.0
5,VOO220318C00375000,375.0,USD,23.4,0.0,0.0,47,26.8,27.5,REGULAR,"=TEXT(((1647561600 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645735982 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",0.28577374389648436,True,209.0
6,VOO220318C00380000,380.0,USD,17.0,0.0,0.0,53,22.4,23.3,REGULAR,"=TEXT(((1647561600 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645733049 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",0.2760692510986328,True,16.0
7,VOO220318C00385000,385.0,USD,17.5,2.1000004,13.636366,32,18.2,19.2,REGULAR,"=TEXT(((1647561600 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645803630 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",0.26258061645507813,True,3.0
8,VOO220318C00390000,390.0,USD,15.1,2.5,19.841269,19,14.4,15.5,REGULAR,"=TEXT(((1647561600 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645804427 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",0.253486469116211,True,1.0
9,VOO220318C00395000,395.0,USD,11.74,3.1599998,36.829838,162,11.0,11.6,REGULAR,"=TEXT(((1647561600 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645804435 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",0.23053747985839845,True,10.0
10,VOO220318C00400000,400.0,USD,8.5,1.8000002,26.865677,171,8.5,8.9,REGULAR,"=TEXT(((1647561600 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645804766 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",0.22925575439453127,False,17.0
11,VOO220318C00405000,405.0,USD,6.0,2.7,81.818184,160,5.5,6.2,REGULAR,"=TEXT(((1647561600 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645804581 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",0.21649953430175778,False,5.0
