,contractSymbol,strike,currency,lastPrice,change,percentChange,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,volume
0,Z220225C00026000,26.0,USD,33.05,0.0,0.0,2,30.5,31.2,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1644870606 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",8.570317143554687,True,
1,Z220225C00027000,27.0,USD,37.06,0.0,0.0,1,29.55,30.3,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1644948225 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",8.585942133789063,True,
2,Z220225C00031000,31.0,USD,24.65,0.0,0.0,0,25.4,26.15,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645719068 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",6.453126933593751,True,1.0
3,Z220225C00033000,33.0,USD,23.6,1.5,6.78733,1,23.85,24.1,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645800930 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",6.722657846679688,True,1.0
4,Z220225C00035000,35.0,USD,24.4,0.0,0.0,3,21.75,22.05,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645544478 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",5.835940205078126,True,2.0
5,Z220225C00036000,36.0,USD,23.8,0.0,0.0,1,20.6,21.1,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645543953 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",5.359378300781248,True,1.0
6,Z220225C00038000,38.0,USD,22.2,0.0,0.0,1,18.45,19.0,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1644856433 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",4.296879628906249,True,
7,Z220225C00039000,39.0,USD,19.7,0.0,0.0,3,17.75,18.2,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645558877 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",4.949222563476562,True,2.0
8,Z220225C00040000,40.0,USD,20.05,0.0,0.0,1,16.45,17.15,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645541896 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",4.12500484375,True,1.0
9,Z220225C00041000,41.0,USD,15.0,0.0,0.0,13,15.35,15.95,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645715954 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",3.2031269921874994,True,5.0
10,Z220225C00041500,41.5,USD,14.2,0.0,0.0,16,15.25,15.6,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645718160 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",4.140629824218751,True,4.0
11,Z220225C00042000,42.0,USD,13.35,0.0,0.0,8,14.5,15.05,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645718834 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",3.55468861328125,True,2.0
12,Z220225C00042500,42.5,USD,20.2,0.0,0.0,4,14.25,14.55,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645197222 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",3.82031294921875,True,1.0
13,Z220225C00043000,43.0,USD,13.85,0.0,0.0,4,13.4,14.05,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645731682 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",3.1406271484375,True,1.0
14,Z220225C00043500,43.5,USD,11.85,0.0,0.0,7,12.85,13.55,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645714070 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",2.92969017578125,True,2.0
15,Z220225C00044000,44.0,USD,16.85,0.0,0.0,4,12.45,13.05,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645201701 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",3.00781498046875,True,1.0
16,Z220225C00044500,44.5,USD,10.8,0.0,0.0,6,11.9,12.4,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645715431 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",2.49219126953125,True,1.0
17,Z220225C00045000,45.0,USD,10.35,0.0,0.0,14,11.35,12.15,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645717328 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",2.7890655273437504,True,1.0
18,Z220225C00045500,45.5,USD,14.7,0.0,0.0,4,10.85,11.55,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645543036 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",2.50781623046875,True,2.0
19,Z220225C00046000,46.0,USD,9.6,0.0,0.0,8,10.45,10.95,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645719981 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",2.4062539843749997,True,7.0
20,Z220225C00046500,46.5,USD,8.8,0.0,0.0,12,9.95,10.55,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645720307 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",2.46094134765625,True,3.0
21,Z220225C00047000,47.0,USD,10.1,0.0,0.0,11,9.6,10.15,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645641807 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",2.6679720800781253,True,1.0
22,Z220225C00048000,48.0,USD,8.9,-0.8000002,-8.247424,35,8.5,9.0,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645802884 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",2.1406296484375,True,1.0
23,Z220225C00048500,48.5,USD,7.2,0.0,0.0,1,8.0,8.6,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645715840 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",2.156254609375,True,1.0
24,Z220225C00049000,49.0,USD,8.05,0.0,0.0,37,7.4,8.05,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645733386 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.86328193359375,True,6.0
25,Z220225C00050000,50.0,USD,7.03,0.0,0.0,86,6.8,7.15,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645732148 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",2.144535888671875,True,6.0
26,Z220225C00051000,51.0,USD,5.75,0.0,0.0,172,5.5,5.9,REGULAR,"=TEXT(((1645747200 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")","=TEXT(((1645731039 / 86400) + DATE(1970, 1, 1)), ""mm/dd/yyyy"")",1.3867218164062498,True,2.0
