,contractSymbol,strike,currency,lastPrice,change,percentChange,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,volume
0,SPY220302C00285000,285.0,USD,159.25,0.0,0.0,1,145.74,146.38,REGULAR,03/01/2022,"02/16/2022, 09:39",3.058596103515625,True,
1,SPY220302C00315000,315.0,USD,118.21,18.29,18.304644,5,115.74,116.38,REGULAR,03/01/2022,"03/01/2022, 10:50",2.4121133447265626,True,15.0
2,SPY220302C00320000,320.0,USD,110.9,0.0,0.0,3,110.75,111.37,REGULAR,03/01/2022,"02/28/2022, 14:32",2.3095745385742186,True,2.0
3,SPY220302C00330000,330.0,USD,99.0,-5.0999985,-4.899134,4,100.74,101.38,REGULAR,03/01/2022,"03/01/2022, 15:44",2.106450046386718,True,1.0
4,SPY220302C00355000,355.0,USD,71.91,0.0,0.0,7,75.74,76.38,REGULAR,03/01/2022,"02/24/2022, 15:36",1.6162128564453124,True,
5,SPY220302C00360000,360.0,USD,69.66,0.0,0.0,19,70.73,71.42,REGULAR,03/01/2022,"02/25/2022, 09:43",1.5244164404296874,True,19.0
6,SPY220302C00370000,370.0,USD,81.02,0.0,0.0,8,60.73,61.42,REGULAR,03/01/2022,"02/08/2022, 12:51",1.3330111474609372,True,8.0
7,SPY220302C00371000,371.0,USD,61.2,14.619999,31.386858,1,59.73,60.42,REGULAR,03/01/2022,"03/01/2022, 11:31",1.3139682739257812,True,1.0
8,SPY220302C00372000,372.0,USD,61.0,0.0,0.0,11,58.73,59.42,REGULAR,03/01/2022,"02/28/2022, 14:59",1.2949254003906248,True,1.0
9,SPY220302C00373000,373.0,USD,63.14,0.0,0.0,14,57.73,58.42,REGULAR,03/01/2022,"02/28/2022, 11:01",1.2758825268554683,True,8.0
10,SPY220302C00375000,375.0,USD,42.24,0.0,0.0,20,55.74,56.32,REGULAR,03/01/2022,"02/24/2022, 12:36",1.2260780883789062,True,
11,SPY220302C00379000,379.0,USD,46.01,0.0,0.0,20,51.73,52.39,REGULAR,03/01/2022,"02/24/2022, 15:22",1.158207333984375,True,
12,SPY220302C00380000,380.0,USD,38.96,0.0,0.0,20,50.74,51.38,REGULAR,03/01/2022,"02/24/2022, 11:24",1.1391644604492188,True,10.0
13,SPY220302C00384000,384.0,USD,52.61,0.0,0.0,14,46.73,47.43,REGULAR,03/01/2022,"02/25/2022, 15:41",1.0678757543945316,True,13.0
14,SPY220302C00385000,385.0,USD,45.35,-2.6100006,-5.442036,9,45.73,46.42,REGULAR,03/01/2022,"03/01/2022, 14:37",1.0478563232421876,True,2.0
15,SPY220302C00386000,386.0,USD,37.56,0.0,0.0,7,44.74,45.42,REGULAR,03/01/2022,"02/24/2022, 14:47",1.0297900073242188,True,
16,SPY220302C00387000,387.0,USD,49.45,0.0,0.0,2,43.74,44.42,REGULAR,03/01/2022,"02/28/2022, 15:57",1.0107471337890623,True,2.0
17,SPY220302C00388000,388.0,USD,44.02,0.0,0.0,9,42.73,43.43,REGULAR,03/01/2022,"02/28/2022, 14:07",0.9916993017578125,True,11.0
18,SPY220302C00390000,390.0,USD,40.4,-2.1800003,-5.119775,24,40.73,41.43,REGULAR,03/01/2022,"03/01/2022, 16:05",0.9533696069335937,True,18.0
19,SPY220302C00391000,391.0,USD,41.83,9.640003,29.9472,1,39.73,40.43,REGULAR,03/01/2022,"03/01/2022, 10:47",0.9340826904296875,True,17.0
20,SPY220302C00392000,392.0,USD,40.83,1.7300034,4.424561,1,38.74,39.4,REGULAR,03/01/2022,"03/01/2022, 10:58",0.913086806640625,True,5.0
21,SPY220302C00394000,394.0,USD,37.51,0.0,0.0,20,36.75,37.42,REGULAR,03/01/2022,"02/28/2022, 14:36",0.8776867700195312,True,20.0
22,SPY220302C00395000,395.0,USD,42.25,0.0,0.0,7,35.75,36.34,REGULAR,03/01/2022,"02/28/2022, 11:55",0.8500991552734375,True,1.0
23,SPY220302C00396000,396.0,USD,37.52,14.98,66.45962,3,34.75,35.42,REGULAR,03/01/2022,"03/01/2022, 11:17",0.8391129370117187,True,2.0
24,SPY220302C00398000,398.0,USD,34.13,-4.0099983,-10.513892,21,32.74,33.43,REGULAR,03/01/2022,"03/01/2022, 15:03",0.8002949658203125,True,20.0
25,SPY220302C00399000,399.0,USD,34.27,0.0,0.0,21,31.74,32.42,REGULAR,03/01/2022,"02/28/2022, 12:47",0.7800314965820312,True,10.0
26,SPY220302C00400000,400.0,USD,29.5,-2.3999996,-7.52351,294,30.74,31.44,REGULAR,03/01/2022,"03/01/2022, 15:56",0.7622094091796876,True,87.0
27,SPY220302C00401000,401.0,USD,26.31,-4.4400005,-14.439026,21,29.74,30.44,REGULAR,03/01/2022,"03/01/2022, 15:50",0.7426783544921874,True,61.0
28,SPY220302C00402000,402.0,USD,25.34,-4.42,-14.852151,5,28.74,29.45,REGULAR,03/01/2022,"03/01/2022, 15:50",0.7241238525390624,True,9.0
29,SPY220302C00403000,403.0,USD,27.38,-1.8500004,-6.3291154,63,27.75,28.43,REGULAR,03/01/2022,"03/01/2022, 11:52",0.7036162451171876,True,43.0
30,SPY220302C00404000,404.0,USD,24.4,-7.25,-22.906794,29,26.75,27.45,REGULAR,03/01/2022,"03/01/2022, 15:53",0.68555001953125,True,161.0
31,SPY220302C00405000,405.0,USD,24.06,-3.3199997,-12.125638,133,25.75,26.45,REGULAR,03/01/2022,"03/01/2022, 15:30",0.6657748266601564,True,39.0
