,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
0,T220304C00015000,15.0,USD,8.52,0.0,0.0,1.0,96,8.45,8.6,REGULAR,03/03/2022,"02/28/2022, 13:19",2.4062539843749997,True
1,T220304C00017000,17.0,USD,7.0,0.0,0.0,3.0,6,6.45,6.6,REGULAR,03/03/2022,"02/25/2022, 13:05",1.8281258593749998,True
2,T220304C00018000,18.0,USD,5.45,0.0,0.0,2.0,23,5.45,5.6,REGULAR,03/03/2022,"02/28/2022, 14:11",1.5546897265624997,True
3,T220304C00019000,19.0,USD,4.55,0.0,0.0,1.0,9,4.45,4.6,REGULAR,03/03/2022,"02/28/2022, 09:31",1.2968785156249998,True
4,T220304C00019500,19.5,USD,4.05,0.0,0.0,1.0,11,3.9,4.1,REGULAR,03/03/2022,"02/28/2022, 13:51",1.1640666796875,True
5,T220304C00020000,20.0,USD,3.5,0.0,0.0,24.0,168,3.45,3.6,REGULAR,03/03/2022,"03/01/2022, 14:30",1.0390673046875003,True
6,T220304C00020500,20.5,USD,3.55,0.0,0.0,3.0,7,2.91,3.1,REGULAR,03/03/2022,"02/25/2022, 12:15",0.914063359375,True
7,T220304C00021000,21.0,USD,2.4,-0.29999995,-11.11111,28.0,240,2.48,2.6,REGULAR,03/03/2022,"03/01/2022, 14:17",0.5312546875,True
8,T220304C00021500,21.5,USD,1.98,-0.55999994,-22.047241,7.0,20,1.99,2.09,REGULAR,03/03/2022,"03/01/2022, 15:43",0.632816171875,True
9,T220304C00022000,22.0,USD,1.43,-0.31000006,-17.816095,3.0,58,1.49,1.65,REGULAR,03/03/2022,"03/01/2022, 11:20",0.6289099609375001,True
10,T220304C00022500,22.5,USD,1.1,-0.17999995,-14.062496,108.0,243,1.07,1.14,REGULAR,03/03/2022,"03/01/2022, 15:59",0.4687553125,True
11,T220304C00023000,23.0,USD,0.69,-0.120000005,-14.814815,560.0,1564,0.66,0.69,REGULAR,03/03/2022,"03/01/2022, 15:59",0.37500625,True
12,T220304C00023500,23.5,USD,0.32,-0.120000005,-27.272728,1760.0,2863,0.31,0.34,REGULAR,03/03/2022,"03/01/2022, 15:56",0.33008482421874996,True
13,T220304C00024000,24.0,USD,0.12,-0.06000001,-33.333336,3086.0,16251,0.11,0.12,REGULAR,03/03/2022,"03/01/2022, 15:59",0.3007882421875,False
14,T220304C00024500,24.5,USD,0.04,-0.030000001,-42.857143,1637.0,7987,0.03,0.04,REGULAR,03/03/2022,"03/01/2022, 15:56",0.3086006640625,False
15,T220304C00025000,25.0,USD,0.02,-0.01,-33.333336,576.0,8196,0.01,0.02,REGULAR,03/03/2022,"03/01/2022, 15:59",0.35938140625,False
16,T220304C00025500,25.5,USD,0.01,-0.01,-50.0,41.0,5139,0.0,0.01,REGULAR,03/03/2022,"03/01/2022, 13:38",0.39063109375,False
17,T220304C00026000,26.0,USD,0.01,0.0,0.0,53.0,6931,0.0,0.01,REGULAR,03/03/2022,"03/01/2022, 13:33",0.4687553125,False
18,T220304C00026500,26.5,USD,0.01,0.0,0.0,3.0,1049,0.0,0.01,REGULAR,03/03/2022,"03/01/2022, 09:31",0.500005,False
19,T220304C00027000,27.0,USD,0.01,0.0,0.0,24.0,925,0.0,0.01,REGULAR,03/03/2022,"02/25/2022, 14:48",0.5625043750000001,False
20,T220304C00027500,27.5,USD,0.01,0.0,0.0,9.0,10221,0.0,0.01,REGULAR,03/03/2022,"02/22/2022, 15:38",0.6250037500000001,False
21,T220304C00028000,28.0,USD,0.01,0.0,0.0,37.0,849,0.0,0.01,REGULAR,03/03/2022,"02/28/2022, 15:27",0.6875031250000001,False
22,T220304C00028500,28.5,USD,0.01,0.0,0.0,1.0,292,0.0,0.01,REGULAR,03/03/2022,"02/17/2022, 15:39",0.7500025,False
23,T220304C00029000,29.0,USD,0.01,0.0,0.0,8.0,264,0.0,0.01,REGULAR,03/03/2022,"02/25/2022, 14:55",0.8125018749999999,False
24,T220304C00029500,29.5,USD,0.02,0.0,0.0,1.0,346,0.0,0.01,REGULAR,03/03/2022,"02/11/2022, 15:16",0.87500125,False
25,T220304C00030000,30.0,USD,0.02,0.0,0.0,1.0,325,0.0,0.01,REGULAR,03/03/2022,"02/17/2022, 10:13",0.937500625,False
26,T220304C00030500,30.5,USD,0.01,0.0,0.0,180.0,137,0.0,0.01,REGULAR,03/03/2022,"02/08/2022, 10:01",0.9687503125,False
27,T220304C00031000,31.0,USD,0.03,0.0,0.0,2.0,149,0.0,0.02,REGULAR,03/03/2022,"01/28/2022, 10:30",1.125004375,False
28,T220304C00031500,31.5,USD,0.01,0.0,0.0,15.0,582,0.0,0.01,REGULAR,03/03/2022,"02/16/2022, 11:25",1.0625046875000002,False
29,T220304C00032000,32.0,USD,0.01,0.0,0.0,,1,0.0,0.01,REGULAR,03/03/2022,"02/22/2022, 15:40",1.125004375,False
30,T220304C00032500,32.5,USD,0.03,0.0,0.0,2.0,211,0.0,0.01,REGULAR,03/03/2022,"01/24/2022, 10:41",1.1875040625,False
