,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
0,SPY220307C00300000,300.0,USD,128.35,0.0,0.0,3.0,13,122.43,122.7,REGULAR,03/06/2022,"03/01/2022, 15:47",1.0000000000000003e-05,True
1,SPY220307C00320000,320.0,USD,113.18,0.0,0.0,10.0,0,102.29,102.54,REGULAR,03/06/2022,"03/01/2022, 11:22",1.0000000000000003e-05,True
2,SPY220307C00325000,325.0,USD,108.19,0.0,0.0,20.0,0,97.45,97.66,REGULAR,03/06/2022,"03/01/2022, 11:22",1.0000000000000003e-05,True
3,SPY220307C00330000,330.0,USD,103.19,0.0,0.0,10.0,0,92.39,92.64,REGULAR,03/06/2022,"03/01/2022, 11:22",1.0000000000000003e-05,True
4,SPY220307C00335000,335.0,USD,94.39,0.0,0.0,20.0,20,87.43,87.68,REGULAR,03/06/2022,"03/04/2022, 10:48",1.0000000000000003e-05,True
5,SPY220307C00345000,345.0,USD,91.22,0.0,0.0,,0,77.77,78.0,REGULAR,03/06/2022,"03/03/2022, 14:58",1.0000000000000003e-05,True
6,SPY220307C00348000,348.0,USD,85.03,0.0,0.0,15.0,0,74.42,74.63,REGULAR,03/06/2022,"03/02/2022, 09:41",1.0000000000000003e-05,True
7,SPY220307C00350000,350.0,USD,79.2,-4.9100037,-5.837598,2.0,6,72.35,72.65,REGULAR,03/06/2022,"03/07/2022, 09:46",1.0000000000000003e-05,True
8,SPY220307C00356000,356.0,USD,74.17,0.0,0.0,20.0,20,66.73,66.97,REGULAR,03/06/2022,"03/04/2022, 15:41",1.0000000000000003e-05,True
9,SPY220307C00358000,358.0,USD,73.19,0.0,0.0,4.0,2,64.78,65.01,REGULAR,03/06/2022,"03/04/2022, 13:43",1.0000000000000003e-05,True
10,SPY220307C00362000,362.0,USD,68.36,0.0,0.0,20.0,20,60.62,60.79,REGULAR,03/06/2022,"03/04/2022, 15:48",1.0000000000000003e-05,True
11,SPY220307C00363000,363.0,USD,62.6,-11.620003,-15.65616,32.0,20,59.48,59.67,REGULAR,03/06/2022,"03/07/2022, 11:34",1.0000000000000003e-05,True
12,SPY220307C00365000,365.0,USD,64.64,0.0,0.0,20.0,20,57.59,57.85,REGULAR,03/06/2022,"03/01/2022, 13:45",1.0000000000000003e-05,True
13,SPY220307C00369000,369.0,USD,61.25,0.0,0.0,20.0,20,53.69,53.88,REGULAR,03/06/2022,"03/04/2022, 14:50",1.0000000000000003e-05,True
14,SPY220307C00370000,370.0,USD,56.64,-8.470001,-13.008757,20.0,10,52.63,52.91,REGULAR,03/06/2022,"03/07/2022, 10:30",1.0000000000000003e-05,True
15,SPY220307C00371000,371.0,USD,63.01,0.0,0.0,,16,51.61,51.84,REGULAR,03/06/2022,"02/28/2022, 13:01",1.0000000000000003e-05,True
16,SPY220307C00372000,372.0,USD,54.11,-4.799999,-8.148022,49.0,2,50.62,50.84,REGULAR,03/06/2022,"03/07/2022, 11:05",1.0000000000000003e-05,True
17,SPY220307C00374000,374.0,USD,48.69,-10.850002,-18.223047,6.0,20,48.69,49.01,REGULAR,03/06/2022,"03/07/2022, 12:37",1.0000000000000003e-05,True
18,SPY220307C00375000,375.0,USD,51.43,-3.829998,-6.930869,15.0,7,47.56,47.82,REGULAR,03/06/2022,"03/07/2022, 11:16",1.0000000000000003e-05,True
19,SPY220307C00377000,377.0,USD,54.47,0.0,0.0,20.0,20,45.39,45.57,REGULAR,03/06/2022,"03/04/2022, 12:39",1.0000000000000003e-05,True
20,SPY220307C00378000,378.0,USD,50.6,-1.6400032,-3.1393628,2.0,2,44.56,44.81,REGULAR,03/06/2022,"03/07/2022, 10:07",1.0000000000000003e-05,True
21,SPY220307C00380000,380.0,USD,57.73,0.0,0.0,9.0,0,42.63,42.86,REGULAR,03/06/2022,"02/14/2022, 14:18",1.0000000000000003e-05,True
22,SPY220307C00383000,383.0,USD,46.16,0.0,0.0,3.0,3,39.66,39.87,REGULAR,03/06/2022,"03/04/2022, 12:08",1.0000000000000003e-05,True
23,SPY220307C00385000,385.0,USD,39.14,-12.260002,-23.852144,35.0,34,37.32,37.57,REGULAR,03/06/2022,"03/07/2022, 12:00",1.0000000000000003e-05,True
24,SPY220307C00387000,387.0,USD,53.06,0.0,0.0,,6,35.66,35.9,REGULAR,03/06/2022,"03/03/2022, 09:41",1.0000000000000003e-05,True
25,SPY220307C00389000,389.0,USD,40.87,0.0,0.0,2.0,0,33.54,33.83,REGULAR,03/06/2022,"03/04/2022, 15:14",1.0000000000000003e-05,True
26,SPY220307C00390000,390.0,USD,37.16,-3.369999,-8.314826,12.0,7,32.55,32.85,REGULAR,03/06/2022,"03/07/2022, 10:17",1.0000000000000003e-05,True
27,SPY220307C00391000,391.0,USD,41.02,0.0,0.0,4.0,36,31.57,31.79,REGULAR,03/06/2022,"03/04/2022, 15:56",1.0000000000000003e-05,True
28,SPY220307C00392000,392.0,USD,38.7,0.0,0.0,4.0,12,30.55,30.81,REGULAR,03/06/2022,"03/01/2022, 12:17",1.0000000000000003e-05,True
29,SPY220307C00395000,395.0,USD,37.08,0.0,0.0,5.0,8,27.37,27.61,REGULAR,03/06/2022,"03/04/2022, 13:19",1.0000000000000003e-05,True
30,SPY220307C00396000,396.0,USD,33.68,0.0,0.0,1.0,1,26.64,26.85,REGULAR,03/06/2022,"03/04/2022, 10:18",1.0000000000000003e-05,True
31,SPY220307C00398000,398.0,USD,33.75,0.0,0.0,10.0,8,24.66,24.87,REGULAR,03/06/2022,"03/04/2022, 12:19",1.0000000000000003e-05,True
32,SPY220307C00399000,399.0,USD,31.33,0.0,0.0,29.0,29,23.4,23.62,REGULAR,03/06/2022,"03/04/2022, 15:23",1.0000000000000003e-05,True
33,SPY220307C00400000,400.0,USD,23.48,-7.050001,-23.092045,15.0,143,22.61,22.81,REGULAR,03/06/2022,"03/07/2022, 12:49",1.0000000000000003e-05,True
34,SPY220307C00401000,401.0,USD,22.05,-7.6000004,-25.63238,5.0,18,21.67,21.89,REGULAR,03/06/2022,"03/07/2022, 12:54",1.0000000000000003e-05,True
35,SPY220307C00402000,402.0,USD,36.08,0.0,0.0,12.0,22,20.5,20.8,REGULAR,03/06/2022,"03/03/2022, 10:27",1.0000000000000003e-05,True
36,SPY220307C00403000,403.0,USD,26.94,0.0,0.0,20.0,41,19.67,19.86,REGULAR,03/06/2022,"03/04/2022, 11:51",1.0000000000000003e-05,True
37,SPY220307C00404000,404.0,USD,29.46,0.0,0.0,4.0,26,18.42,18.62,REGULAR,03/06/2022,"03/02/2022, 10:22",1.0000000000000003e-05,True
38,SPY220307C00405000,405.0,USD,23.94,-0.9899998,-3.9711182,4.0,54,17.4,17.65,REGULAR,03/06/2022,"03/04/2022, 11:54",1.0000000000000003e-05,True
39,SPY220307C00406000,406.0,USD,27.16,0.0,0.0,24.0,45,16.75,17.02,REGULAR,03/06/2022,"03/04/2022, 13:16",1.0000000000000003e-05,True
40,SPY220307C00407000,407.0,USD,23.44,-0.40999985,-1.7190769,2.0,25,15.64,15.82,REGULAR,03/06/2022,"03/04/2022, 15:11",1.0000000000000003e-05,True
41,SPY220307C00408000,408.0,USD,18.21,-6.370001,-25.91538,10.0,48,14.43,14.65,REGULAR,03/06/2022,"03/07/2022, 11:06",1.0000000000000003e-05,True
