,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
0,T220311C00015000,15.0,USD,8.82,-0.2300005,-2.541442,2.0,8,8.7,8.8,REGULAR,03/10/2022,"03/07/2022, 10:38",1.5000025,True
1,T220311C00017000,17.0,USD,6.8,0.0,0.0,1.0,7,6.7,6.85,REGULAR,03/10/2022,"02/25/2022, 10:33",1.4375028125,True
2,T220311C00018000,18.0,USD,5.2,0.0,0.0,6.0,10,5.7,5.85,REGULAR,03/10/2022,"02/24/2022, 15:40",1.21875390625,True
3,T220311C00019000,19.0,USD,4.65,0.0,0.0,2.0,3,4.75,4.85,REGULAR,03/10/2022,"02/25/2022, 09:49",1.140629296875,True
4,T220311C00019500,19.5,USD,4.3,0.0,0.0,1.0,9,4.2,4.35,REGULAR,03/10/2022,"03/07/2022, 10:22",0.914063359375,True
5,T220311C00020000,20.0,USD,3.74,-0.059999943,-1.5789459,1.0,39,3.7,3.85,REGULAR,03/10/2022,"03/07/2022, 09:35",0.8125018749999999,True
6,T220311C00020500,20.5,USD,3.5,0.0,0.0,2.0,4,3.2,3.35,REGULAR,03/10/2022,"03/03/2022, 15:00",0.7187528125,True
7,T220311C00021000,21.0,USD,2.8,-0.120000124,-4.1095934,88.0,112,2.76,2.83,REGULAR,03/10/2022,"03/07/2022, 13:58",0.6875031250000001,True
8,T220311C00021500,21.5,USD,2.31,0.07999992,3.5874405,2.0,23,2.26,2.38,REGULAR,03/10/2022,"03/07/2022, 10:39",0.6445348046875,True
9,T220311C00022000,22.0,USD,1.69,-0.26,-13.333333,6.0,4033,1.78,1.86,REGULAR,03/10/2022,"03/07/2022, 11:54",0.5312546875,True
10,T220311C00022500,22.5,USD,1.43,-0.060000062,-4.0268497,74.0,149,1.33,1.39,REGULAR,03/10/2022,"03/07/2022, 13:41",0.5195360546875,True
11,T220311C00023000,23.0,USD,0.91,-0.109999955,-10.784309,181.0,1331,0.92,0.96,REGULAR,03/10/2022,"03/07/2022, 13:35",0.46094289062500005,True
12,T220311C00023500,23.5,USD,0.57,-0.09000003,-13.636369,961.0,4665,0.57,0.58,REGULAR,03/10/2022,"03/07/2022, 14:01",0.40430283203125,True
13,T220311C00024000,24.0,USD,0.29,-0.08000001,-21.621626,4393.0,33703,0.28,0.3,REGULAR,03/10/2022,"03/07/2022, 14:02",0.37305314453125,False
14,T220311C00024500,24.5,USD,0.12,-0.06000001,-33.333336,3280.0,6242,0.11,0.13,REGULAR,03/10/2022,"03/07/2022, 14:04",0.35352208984374994,False
15,T220311C00025000,25.0,USD,0.05,-0.029999997,-37.499996,3581.0,19422,0.04,0.05,REGULAR,03/10/2022,"03/07/2022, 13:56",0.35156898437499995,False
16,T220311C00025500,25.5,USD,0.02,-0.02,-50.0,1802.0,2666,0.01,0.02,REGULAR,03/10/2022,"03/07/2022, 13:22",0.35938140625,False
17,T220311C00026000,26.0,USD,0.01,-0.02,-66.66667,313.0,7429,0.0,0.01,REGULAR,03/10/2022,"03/07/2022, 13:45",0.39063109375,False
18,T220311C00026500,26.5,USD,0.01,-0.01,-50.0,133.0,631,0.0,0.01,REGULAR,03/10/2022,"03/07/2022, 10:06",0.45313046875,False
19,T220311C00027000,27.0,USD,0.01,0.0,0.0,29.0,1134,0.0,0.01,REGULAR,03/10/2022,"03/07/2022, 13:27",0.51562984375,False
20,T220311C00027500,27.5,USD,0.01,0.0,0.0,5.0,573,0.0,0.01,REGULAR,03/10/2022,"03/04/2022, 12:23",0.5312546875,False
21,T220311C00028000,28.0,USD,0.01,0.0,0.0,601.0,750,0.0,0.01,REGULAR,03/10/2022,"03/02/2022, 13:07",0.5937540625000001,False
22,T220311C00028500,28.5,USD,0.01,0.0,0.0,549.0,825,0.0,0.01,REGULAR,03/10/2022,"03/02/2022, 09:52",0.6562534375000001,False
23,T220311C00029000,29.0,USD,0.01,0.0,0.0,20.0,283,0.0,0.01,REGULAR,03/10/2022,"03/02/2022, 11:00",0.6875031250000001,False
24,T220311C00029500,29.5,USD,0.01,0.0,0.0,1.0,128,0.0,0.01,REGULAR,03/10/2022,"02/25/2022, 09:42",0.7500025,False
25,T220311C00030000,30.0,USD,0.03,0.0,0.0,11.0,24,0.0,0.01,REGULAR,03/10/2022,"02/16/2022, 10:41",0.8125018749999999,False
26,T220311C00031000,31.0,USD,0.01,0.0,0.0,,10,0.0,0.02,REGULAR,03/10/2022,"02/16/2022, 13:59",0.9687503125,False
