,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
0,VOO220318C00300000,300.0,USD,100.7,0.0,0.0,20.0,0,88.4,90.4,REGULAR,03/17/2022,"02/28/2022, 12:09",0.8295915478515624,True
1,VOO220318C00310000,310.0,USD,110.08,0.0,0.0,,3,78.6,80.2,REGULAR,03/17/2022,"02/14/2022, 00:10",0.7058134887695313,True
2,VOO220318C00330000,330.0,USD,68.76,0.0,0.0,2.0,1,58.7,61.1,REGULAR,03/17/2022,"02/28/2022, 15:03",0.6538120556640626,True
3,VOO220318C00345000,345.0,USD,49.5,0.0,0.0,,1,44.2,46.2,REGULAR,03/17/2022,"02/24/2022, 15:57",0.5239305419921875,True
4,VOO220318C00350000,350.0,USD,49.0,0.0,0.0,2.0,1,39.5,41.5,REGULAR,03/17/2022,"02/22/2022, 15:11",0.5004932763671875,True
5,VOO220318C00355000,355.0,USD,41.0,0.0,0.0,1.0,1,35.2,36.2,REGULAR,03/17/2022,"02/25/2022, 09:30",0.43018147949218755,True
6,VOO220318C00360000,360.0,USD,43.4,0.0,0.0,31.0,31,30.6,31.3,REGULAR,03/17/2022,"02/18/2022, 15:08",0.38977661010742193,True
7,VOO220318C00365000,365.0,USD,31.08,0.0,0.0,,10,26.1,26.9,REGULAR,03/17/2022,"02/23/2022, 11:08",0.37744763183593744,True
8,VOO220318C00370000,370.0,USD,29.42,0.0,0.0,1.0,3,22.0,22.6,REGULAR,03/17/2022,"03/04/2022, 09:49",0.36096830444335937,True
9,VOO220318C00375000,375.0,USD,24.64,0.0,0.0,3.0,48,18.2,18.8,REGULAR,03/17/2022,"03/04/2022, 15:30",0.35712312805175783,True
10,VOO220318C00380000,380.0,USD,15.0,-6.7800007,-31.129478,3.0,53,14.4,15.3,REGULAR,03/17/2022,"03/07/2022, 12:18",0.35217932983398437,True
11,VOO220318C00385000,385.0,USD,11.3,-6.3599997,-36.013588,40.0,38,11.1,11.6,REGULAR,03/17/2022,"03/07/2022, 13:58",0.3266668896484375,True
12,VOO220318C00390000,390.0,USD,8.3,-4.5599995,-35.458782,10.0,37,8.2,8.6,REGULAR,03/17/2022,"03/07/2022, 13:15",0.3131172204589844,False
13,VOO220318C00395000,395.0,USD,5.9,-4.4,-42.718445,27.0,220,5.6,5.9,REGULAR,03/17/2022,"03/07/2022, 13:11",0.2941965112304687,False
14,VOO220318C00400000,400.0,USD,3.72,-3.4799998,-48.333332,46.0,176,3.5,3.9,REGULAR,03/17/2022,"03/07/2022, 12:54",0.28284408569335934,False
15,VOO220318C00405000,405.0,USD,2.22,-2.5800002,-53.750004,414.0,1257,1.85,2.3,REGULAR,03/17/2022,"03/07/2022, 12:54",0.2672192419433594,False
16,VOO220318C00410000,410.0,USD,1.1,-1.7399999,-61.2676,190.0,488,1.0,1.2,REGULAR,03/17/2022,"03/07/2022, 13:30",0.25171646728515623,False
17,VOO220318C00415000,415.0,USD,0.5,-0.65999997,-56.896553,42.0,389,0.45,0.55,REGULAR,03/17/2022,"03/07/2022, 13:55",0.23828886718749998,False
18,VOO220318C00420000,420.0,USD,0.1,-0.35,-77.77778,21.0,1310,0.15,0.35,REGULAR,03/17/2022,"03/07/2022, 12:26",0.2475661181640625,False
19,VOO220318C00425000,425.0,USD,0.13,-0.120000005,-48.0,11.0,851,0.0,0.2,REGULAR,03/17/2022,"03/07/2022, 13:10",0.2514723291015625,False
20,VOO220318C00430000,430.0,USD,0.09,-0.009999998,-9.999998,8.0,504,0.05,0.3,REGULAR,03/17/2022,"03/07/2022, 11:16",0.29932341308593746,False
21,VOO220318C00435000,435.0,USD,0.05,0.0,0.0,2.0,112,0.0,0.05,REGULAR,03/17/2022,"03/07/2022, 11:06",0.252937158203125,False
22,VOO220318C00440000,440.0,USD,0.05,0.0,0.0,3.0,192,0.0,0.05,REGULAR,03/17/2022,"03/03/2022, 11:08",0.27539787109374997,False
23,VOO220318C00445000,445.0,USD,0.12,0.0,0.0,1.0,267,0.0,0.35,REGULAR,03/17/2022,"03/03/2022, 11:04",0.3918517846679687,False
24,VOO220318C00450000,450.0,USD,0.35,0.0,0.0,1.0,34,0.0,0.5,REGULAR,03/17/2022,"03/03/2022, 09:50",0.44556218505859374,False
25,VOO220318C00455000,455.0,USD,0.15,0.0,0.0,2.0,17,0.0,0.75,REGULAR,03/17/2022,"03/03/2022, 09:50",0.5102588037109376,False
26,VOO220318C00460000,460.0,USD,0.3,0.0,0.0,1.0,20,0.0,1.0,REGULAR,03/17/2022,"02/11/2022, 12:08",0.5705609350585938,False
27,VOO220318C00470000,470.0,USD,0.35,0.0,0.0,,2,0.0,0.75,REGULAR,03/17/2022,"02/15/2022, 10:59",0.5258836474609375,False
28,VOO220318C00490000,490.0,USD,0.05,0.0,0.0,1.0,1,0.0,0.05,REGULAR,03/17/2022,"03/07/2022, 10:13",0.4804739453125,False
