,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
0,SPY220307P00295000,295.0,USD,0.01,0.0,0.0,3418.0,5345.0,0.0,0.01,REGULAR,03/06/2022,"03/04/2022, 13:37",2.1250046874999997,False
1,SPY220307P00300000,300.0,USD,0.01,0.0,0.0,4843.0,6106.0,0.0,0.01,REGULAR,03/06/2022,"03/04/2022, 12:23",2.000005,False
2,SPY220307P00305000,305.0,USD,0.01,0.0,0.0,2572.0,9931.0,0.0,0.01,REGULAR,03/06/2022,"03/04/2022, 12:15",1.9375003125,False
3,SPY220307P00310000,310.0,USD,0.01,0.0,0.0,1804.0,2857.0,0.0,0.01,REGULAR,03/06/2022,"03/04/2022, 12:23",1.8125009374999999,False
4,SPY220307P00315000,315.0,USD,0.01,0.0,0.0,13743.0,14586.0,0.0,0.01,REGULAR,03/06/2022,"03/04/2022, 12:19",1.75000125,False
5,SPY220307P00320000,320.0,USD,0.01,0.0,0.0,1.0,6011.0,0.0,0.01,REGULAR,03/06/2022,"03/04/2022, 15:51",1.65625171875,False
6,SPY220307P00325000,325.0,USD,0.01,0.0,0.0,2797.0,8077.0,0.0,0.01,REGULAR,03/06/2022,"03/04/2022, 13:47",1.5625021874999998,False
7,SPY220307P00330000,330.0,USD,0.01,0.0,0.0,4550.0,9618.0,0.0,0.01,REGULAR,03/06/2022,"03/04/2022, 14:09",1.5000025,False
8,SPY220307P00335000,335.0,USD,0.01,0.0,0.0,1121.0,6458.0,0.0,0.01,REGULAR,03/06/2022,"03/04/2022, 15:49",1.40625296875,False
9,SPY220307P00340000,340.0,USD,0.01,0.0,0.0,1428.0,2458.0,0.0,0.01,REGULAR,03/06/2022,"03/04/2022, 16:09",1.3125034374999998,False
10,SPY220307P00342000,342.0,USD,0.01,0.0,0.0,515.0,610.0,0.0,0.01,REGULAR,03/06/2022,"03/04/2022, 16:02",1.2812535937499998,False
11,SPY220307P00343000,343.0,USD,0.01,0.0,0.0,177.0,1494.0,0.0,0.01,REGULAR,03/06/2022,"03/04/2022, 16:04",1.2500037499999999,False
12,SPY220307P00344000,344.0,USD,0.01,0.0,0.0,1.0,940.0,0.0,0.01,REGULAR,03/06/2022,"03/03/2022, 13:42",1.2500037499999999,False
13,SPY220307P00345000,345.0,USD,0.01,0.0,0.0,27.0,23294.0,0.0,0.01,REGULAR,03/06/2022,"03/07/2022, 09:30",1.2500037499999999,False
14,SPY220307P00346000,346.0,USD,0.02,0.0,0.0,154.0,1295.0,0.0,0.01,REGULAR,03/06/2022,"03/04/2022, 10:36",1.21875390625,False
15,SPY220307P00347000,347.0,USD,0.02,0.0,0.0,1368.0,7021.0,0.0,0.01,REGULAR,03/06/2022,"03/04/2022, 10:14",1.1875040625,False
16,SPY220307P00348000,348.0,USD,0.01,0.0,0.0,236.0,796.0,0.0,0.0,REGULAR,03/06/2022,"03/04/2022, 15:59",0.500005,False
17,SPY220307P00349000,349.0,USD,0.01,0.0,0.0,1.0,1538.0,0.0,0.01,REGULAR,03/06/2022,"03/04/2022, 16:14",1.1875040625,False
18,SPY220307P00350000,350.0,USD,0.01,-0.02,-66.66667,2.0,1496.0,0.0,0.01,REGULAR,03/06/2022,"03/07/2022, 09:45",1.15625421875,False
19,SPY220307P00351000,351.0,USD,0.02,0.0,0.0,50.0,1149.0,0.0,0.01,REGULAR,03/06/2022,"03/04/2022, 14:25",1.125004375,False
20,SPY220307P00352000,352.0,USD,0.02,0.0,0.0,222.0,1504.0,0.0,0.01,REGULAR,03/06/2022,"03/04/2022, 16:14",1.125004375,False
21,SPY220307P00353000,353.0,USD,0.02,0.0,0.0,695.0,1626.0,0.0,0.01,REGULAR,03/06/2022,"03/04/2022, 15:03",1.09375453125,False
22,SPY220307P00354000,354.0,USD,0.02,0.0,0.0,678.0,426.0,0.0,0.01,REGULAR,03/06/2022,"03/04/2022, 14:59",1.09375453125,False
23,SPY220307P00355000,355.0,USD,0.01,0.0,0.0,3.0,1139.0,0.0,0.01,REGULAR,03/06/2022,"03/07/2022, 09:41",1.0625046875000002,False
24,SPY220307P00356000,356.0,USD,0.01,-0.02,-66.66667,5.0,546.0,0.0,0.01,REGULAR,03/06/2022,"03/07/2022, 09:30",1.0625046875000002,False
25,SPY220307P00357000,357.0,USD,0.03,0.0,0.0,10.0,833.0,0.0,0.01,REGULAR,03/06/2022,"03/04/2022, 12:26",1.0312548437500002,False
