,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
0,T220311P00015000,15.0,USD,0.01,0.0,0.0,1,1,0.0,0.01,REGULAR,03/10/2022,"03/07/2022, 09:35",1.5000025,False
1,T220311P00017000,17.0,USD,0.02,0.0,0.0,2,74,0.0,0.01,REGULAR,03/10/2022,"03/04/2022, 11:15",1.125004375,False
2,T220311P00018000,18.0,USD,0.01,0.0,0.0,20,701,0.0,0.01,REGULAR,03/10/2022,"03/02/2022, 11:00",0.937500625,False
3,T220311P00019000,19.0,USD,0.01,-0.01,-50.0,211,923,0.0,0.02,REGULAR,03/10/2022,"03/07/2022, 12:54",0.85937640625,False
4,T220311P00019500,19.5,USD,0.02,0.0,0.0,394,1120,0.0,0.02,REGULAR,03/10/2022,"03/04/2022, 13:40",0.7812521875,False
5,T220311P00020000,20.0,USD,0.01,-0.02,-66.66667,141,1893,0.01,0.02,REGULAR,03/10/2022,"03/07/2022, 11:58",0.726565234375,False
6,T220311P00020500,20.5,USD,0.02,-0.01,-33.333336,211,215,0.01,0.03,REGULAR,03/10/2022,"03/07/2022, 12:48",0.6718782812500002,False
7,T220311P00021000,21.0,USD,0.03,-0.020000001,-40.000004,97,1076,0.02,0.03,REGULAR,03/10/2022,"03/07/2022, 13:31",0.5937540625000001,False
8,T220311P00021500,21.5,USD,0.03,-0.020000001,-40.000004,1841,1081,0.03,0.04,REGULAR,03/10/2022,"03/07/2022, 13:07",0.5390671093750001,False
9,T220311P00022000,22.0,USD,0.06,-0.010000002,-14.285716,484,1112,0.05,0.06,REGULAR,03/10/2022,"03/07/2022, 13:46",0.500005,False
10,T220311P00022500,22.5,USD,0.09,-0.029999994,-24.999996,598,6294,0.09,0.1,REGULAR,03/10/2022,"03/07/2022, 13:59",0.45313046875,False
11,T220311P00023000,23.0,USD,0.16,-0.010000005,-5.8823557,1734,3379,0.16,0.18,REGULAR,03/10/2022,"03/07/2022, 13:59",0.42188078125,False
12,T220311P00023500,23.5,USD,0.3,0.01000002,3.448283,2421,2417,0.29,0.3,REGULAR,03/10/2022,"03/07/2022, 13:59",0.37305314453125,False
13,T220311P00024000,24.0,USD,0.51,0.030000001,6.25,472,5922,0.52,0.53,REGULAR,03/10/2022,"03/07/2022, 13:58",0.34961587890624996,True
14,T220311P00024500,24.5,USD,0.84,0.00999999,1.2048181,100,1865,0.84,0.88,REGULAR,03/10/2022,"03/07/2022, 13:58",0.34766277343749996,True
15,T220311P00025000,25.0,USD,1.24,0.03999996,3.33333,460,449,1.25,1.31,REGULAR,03/10/2022,"03/07/2022, 13:43",0.35938140625,True
16,T220311P00025500,25.5,USD,1.71,-0.059999943,-3.3898273,7,103,1.71,1.78,REGULAR,03/10/2022,"03/07/2022, 13:39",0.3789124609375,True
17,T220311P00026000,26.0,USD,2.24,-0.01999998,-0.8849549,24,108,2.22,2.28,REGULAR,03/10/2022,"03/07/2022, 13:57",0.46094289062500005,True
18,T220311P00026500,26.5,USD,2.68,0.0,0.0,16,13,2.6,2.83,REGULAR,03/10/2022,"03/04/2022, 15:41",0.6757844921875001,True
19,T220311P00027000,27.0,USD,3.2,-0.099999905,-3.0303001,1,8,3.15,3.3,REGULAR,03/10/2022,"03/07/2022, 10:22",0.6796907031250001,True
20,T220311P00027500,27.5,USD,3.7,-0.14999986,-3.8961003,1,3,3.65,3.8,REGULAR,03/10/2022,"03/07/2022, 10:19",0.7539087109375,True
21,T220311P00028000,28.0,USD,4.25,0.0,0.0,1,202,4.2,4.3,REGULAR,03/10/2022,"03/04/2022, 14:43",0.8281267187499999,True
22,T220311P00028500,28.5,USD,4.73,0.0,0.0,3,85,4.7,4.8,REGULAR,03/10/2022,"03/02/2022, 10:56",0.8984385156249999,True
23,T220311P00029000,29.0,USD,5.44,0.0,0.0,2,27,5.15,5.3,REGULAR,03/10/2022,"03/01/2022, 15:13",0.9609378906249999,True
24,T220311P00029500,29.5,USD,5.9,0.0,0.0,1,5,5.65,5.8,REGULAR,03/10/2022,"02/23/2022, 10:08",1.0312548437500002,True
25,T220311P00030000,30.0,USD,6.5,0.30999994,5.0080767,35,36,6.2,6.3,REGULAR,03/10/2022,"03/07/2022, 09:55",1.09375453125,True
26,T220311P00031000,31.0,USD,7.2,0.0,0.0,6,0,7.15,7.3,REGULAR,03/10/2022,"02/22/2022, 12:35",1.2109414453124998,True
