,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
0,VOO220318P00210000,210.0,USD,0.05,0.0,0.0,1.0,2,0.0,0.75,REGULAR,03/17/2022,"03/03/2022, 11:18",1.541017919921875,False
1,VOO220318P00240000,240.0,USD,0.3,0.0,0.0,10.0,10,0.0,0.95,REGULAR,03/17/2022,"01/28/2022, 15:22",1.2802770361328122,False
2,VOO220318P00275000,275.0,USD,0.2,0.0,0.0,,7,0.0,0.75,REGULAR,03/17/2022,"02/16/2022, 10:02",0.9238288867187501,False
3,VOO220318P00280000,280.0,USD,0.2,0.0,0.0,1.0,5,0.0,0.75,REGULAR,03/17/2022,"02/23/2022, 15:50",0.8818371191406249,False
4,VOO220318P00285000,285.0,USD,0.25,0.0,0.0,1.0,10,0.0,0.75,REGULAR,03/17/2022,"02/25/2022, 09:30",0.8403336279296875,False
5,VOO220318P00290000,290.0,USD,0.24,0.0,0.0,1.0,73,0.0,0.4,REGULAR,03/17/2022,"03/04/2022, 09:55",0.7304714453125,False
6,VOO220318P00300000,300.0,USD,0.3,0.0,0.0,1.0,6,0.0,0.75,REGULAR,03/17/2022,"03/04/2022, 09:45",0.7192410888671875,False
7,VOO220318P00305000,305.0,USD,0.25,0.0,0.0,1.0,7,0.0,0.8,REGULAR,03/17/2022,"03/02/2022, 09:32",0.6870148486328126,False
8,VOO220318P00310000,310.0,USD,0.9,0.0,0.0,3.0,3,0.0,0.8,REGULAR,03/17/2022,"02/24/2022, 12:31",0.647464462890625,False
9,VOO220318P00315000,315.0,USD,0.55,0.0,0.0,1.0,2,0.0,0.75,REGULAR,03/17/2022,"03/01/2022, 12:06",0.6020547607421877,False
10,VOO220318P00320000,320.0,USD,0.6,0.0,0.0,3.0,31,0.0,0.7,REGULAR,03/17/2022,"03/01/2022, 14:33",0.5576216113281252,False
11,VOO220318P00325000,325.0,USD,0.4,0.0,0.0,5.0,20,0.2,0.5,REGULAR,03/17/2022,"03/04/2022, 15:47",0.5200243310546875,False
12,VOO220318P00330000,330.0,USD,0.5,0.0,0.0,1.0,779,0.05,1.05,REGULAR,03/17/2022,"03/04/2022, 13:30",0.5229539892578124,False
