,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
0,SPY220222P00285000,285.0,USD,0.01,0.0,0.0,609.0,7385.0,0.0,0.0,REGULAR,1645488000,1645542217,0.500005,False
1,SPY220222P00290000,290.0,USD,0.01,0.0,0.0,13.0,579.0,0.0,0.01,REGULAR,1645488000,1644872261,2.2500043749999996,False
2,SPY220222P00295000,295.0,USD,0.01,0.0,0.0,459.0,1393.0,0.0,0.0,REGULAR,1645488000,1645194892,0.500005,False
3,SPY220222P00300000,300.0,USD,0.01,0.0,0.0,25.0,3482.0,0.0,0.01,REGULAR,1645488000,1645547296,2.0625048437499998,False
4,SPY220222P00305000,305.0,USD,0.01,0.0,0.0,2296.0,2900.0,0.0,0.01,REGULAR,1645488000,1645211617,1.9375003125,False
5,SPY220222P00310000,310.0,USD,0.01,0.0,0.0,2451.0,2418.0,0.0,0.01,REGULAR,1645488000,1645218126,1.875000625,False
6,SPY220222P00315000,315.0,USD,0.01,0.0,0.0,1271.0,8856.0,0.0,0.01,REGULAR,1645488000,1645195771,1.8125009374999999,False
7,SPY220222P00320000,320.0,USD,0.01,0.0,0.0,5.0,11352.0,0.0,0.01,REGULAR,1645488000,1645540200,1.6875015625,False
8,SPY220222P00325000,325.0,USD,0.01,0.0,0.0,13.0,3155.0,0.0,0.01,REGULAR,1645488000,1645552144,1.625001875,False
9,SPY220222P00330000,330.0,USD,0.01,0.0,0.0,22.0,569.0,0.0,0.01,REGULAR,1645488000,1645542929,1.5312523437499999,False
10,SPY220222P00335000,335.0,USD,0.01,0.0,0.0,2324.0,2121.0,0.0,0.01,REGULAR,1645488000,1645216390,1.4375028125,False
11,SPY220222P00340000,340.0,USD,0.01,0.0,0.0,8.0,1821.0,0.0,0.01,REGULAR,1645488000,1645540202,1.3750031249999999,False
12,SPY220222P00345000,345.0,USD,0.01,0.0,0.0,8.0,2269.0,0.0,0.01,REGULAR,1645488000,1645540205,1.2812535937499998,False
13,SPY220222P00350000,350.0,USD,0.01,0.0,0.0,33.0,2680.0,0.0,0.01,REGULAR,1645488000,1645548395,1.21875390625,False
14,SPY220222P00355000,355.0,USD,0.01,0.0,0.0,323.0,10429.0,0.0,0.01,REGULAR,1645488000,1645545571,1.125004375,False
15,SPY220222P00360000,360.0,USD,0.01,-0.01,-50.0,10.0,1396.0,0.0,0.01,REGULAR,1645488000,1645540205,1.0625046875000002,False
16,SPY220222P00361000,361.0,USD,0.02,0.0,0.0,234.0,531.0,0.0,0.0,REGULAR,1645488000,1645214033,0.500005,False
17,SPY220222P00362000,362.0,USD,0.01,-0.01,-50.0,16.0,255.0,0.0,0.01,REGULAR,1645488000,1645540200,1.0312548437500002,False
18,SPY220222P00363000,363.0,USD,0.02,0.0,0.0,122.0,832.0,0.0,0.01,REGULAR,1645488000,1645215078,1.000005,False
19,SPY220222P00364000,364.0,USD,0.02,0.0,0.0,273.0,1072.0,0.0,0.0,REGULAR,1645488000,1645217760,0.500005,False
20,SPY220222P00365000,365.0,USD,0.01,0.0,0.0,1.0,1352.0,0.0,0.0,REGULAR,1645488000,1645218377,0.500005,False
21,SPY220222P00366000,366.0,USD,0.02,0.0,0.0,77.0,730.0,0.0,0.01,REGULAR,1645488000,1645217645,0.9687503125,False
22,SPY220222P00367000,367.0,USD,0.03,0.0,0.0,494.0,1161.0,0.0,0.01,REGULAR,1645488000,1645212491,0.937500625,False
23,SPY220222P00368000,368.0,USD,0.02,0.0,0.0,183.0,396.0,0.0,0.01,REGULAR,1645488000,1645215442,0.937500625,False
24,SPY220222P00369000,369.0,USD,0.02,0.01,100.0,1.0,2945.0,0.0,0.01,REGULAR,1645488000,1645540200,0.9062509375,False
