,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
0,AMZN220225P01700000,1700.0,USD,0.01,-0.02,-66.66667,43.0,903,0.0,0.01,REGULAR,1645747200,1645716381,1.96875015625,False
1,AMZN220225P01750000,1750.0,USD,0.03,0.0,0.0,3.0,15,0.0,0.03,REGULAR,1645747200,1645715361,1.9921875390625,False
2,AMZN220225P01800000,1800.0,USD,0.03,-0.01,-25.0,10.0,48,0.0,0.04,REGULAR,1645747200,1645713062,1.9375003125,False
3,AMZN220225P01830000,1830.0,USD,0.04,-0.02,-33.333336,17.0,14,0.0,0.04,REGULAR,1645747200,1645724024,1.875000625,False
4,AMZN220225P01840000,1840.0,USD,0.6,0.0,0.0,1.0,6,0.0,0.05,REGULAR,1645747200,1643993736,1.8828130859374999,False
5,AMZN220225P01850000,1850.0,USD,0.01,0.0,0.0,14.0,38,0.0,0.05,REGULAR,1645747200,1645546838,1.859375703125,False
6,AMZN220225P01860000,1860.0,USD,0.04,0.0,0.0,3.0,33,0.0,0.05,REGULAR,1645747200,1644864015,1.8437507812499998,False
7,AMZN220225P01870000,1870.0,USD,0.03,0.0,0.0,4.0,58,0.0,0.05,REGULAR,1645747200,1645554801,1.8203133984375,False
8,AMZN220225P01875000,1875.0,USD,0.06,0.0,0.0,4.0,7,0.0,0.22,REGULAR,1645747200,1645554801,2.0273486816406248,False
9,AMZN220225P01880000,1880.0,USD,0.01,0.0,0.0,4.0,5,0.0,0.22,REGULAR,1645747200,1645560415,2.0156299609375,False
10,AMZN220225P01890000,1890.0,USD,0.6,0.0,0.0,1.0,1,0.0,0.22,REGULAR,1645747200,1644001433,1.994140654296875,False
11,AMZN220225P01900000,1900.0,USD,0.05,0.0,0.0,10.0,35,0.0,0.06,REGULAR,1645747200,1645645690,1.78125109375,False
12,AMZN220225P01920000,1920.0,USD,6.85,0.0,0.0,,1,0.0,0.1,REGULAR,1645747200,1643915160,1.8125009374999999,False
13,AMZN220225P01930000,1930.0,USD,0.19,0.0,0.0,1.0,2,0.0,0.1,REGULAR,1645747200,1645205509,1.7890635546875,False
14,AMZN220225P01940000,1940.0,USD,0.04,-8.14,-99.511,1.0,1,0.0,0.1,REGULAR,1645747200,1645713265,1.7734386328124998,False
15,AMZN220225P01950000,1950.0,USD,0.05,0.0,0.0,10.0,14,0.0,0.1,REGULAR,1645747200,1645645694,1.75000125,False
16,AMZN220225P01960000,1960.0,USD,0.7,0.0,0.0,,1,0.0,0.1,REGULAR,1645747200,1644814818,1.7304700976562502,False
17,AMZN220225P01970000,1970.0,USD,0.54,0.0,0.0,3.0,4,0.0,0.1,REGULAR,1645747200,1644245546,1.7109389453125,False
18,AMZN220225P01975000,1975.0,USD,0.05,0.0,0.0,1.0,3,0.0,0.1,REGULAR,1645747200,1645546769,1.703126484375,False
19,AMZN220225P01980000,1980.0,USD,1.13,0.0,0.0,1.0,1,0.0,0.1,REGULAR,1645747200,1643986010,1.69140779296875,False
20,AMZN220225P01990000,1990.0,USD,3.55,0.0,0.0,1.0,1,0.0,0.1,REGULAR,1645747200,1643899578,1.671876640625,False
21,AMZN220225P02000000,2000.0,USD,0.02,0.01,100.0,21.0,194,0.01,0.02,REGULAR,1645747200,1645718391,1.5156274218749999,False
22,AMZN220225P02010000,2010.0,USD,0.06,0.0,0.0,3.0,18,0.0,0.1,REGULAR,1645747200,1645557092,1.6328143359374998,False
23,AMZN220225P02020000,2020.0,USD,6.7,0.0,0.0,2.0,53,0.0,0.1,REGULAR,1645747200,1643907325,1.61328318359375,False
24,AMZN220225P02030000,2030.0,USD,0.07,0.0,0.0,70.0,142,0.0,0.1,REGULAR,1645747200,1645546742,1.5937520312499998,False
25,AMZN220225P02040000,2040.0,USD,0.1,0.0,0.0,1.0,1,0.01,0.1,REGULAR,1645747200,1645201665,1.5859395703124997,False
26,AMZN220225P02050000,2050.0,USD,0.04,0.01,33.333336,6.0,43,0.01,0.05,REGULAR,1645747200,1645724037,1.4921900390624998,False
27,AMZN220225P02075000,2075.0,USD,0.12,0.0,0.0,3.0,6,0.0,0.1,REGULAR,1645747200,1645540414,1.5078149609375,False
28,AMZN220225P02080000,2080.0,USD,2.24,0.0,0.0,1.0,3,0.0,0.1,REGULAR,1645747200,1643728682,1.4960962695312499,False
29,AMZN220225P02090000,2090.0,USD,0.01,-0.09,-90.0,5.0,4,0.01,0.1,REGULAR,1645747200,1645715801,1.4882838085937498,False
30,AMZN220225P02100000,2100.0,USD,0.05,-0.05,-50.0,1.0,144,0.0,0.1,REGULAR,1645747200,1645648438,1.4609401953124999,False
31,AMZN220225P02110000,2110.0,USD,0.05,-0.09,-64.28572,1.0,2,0.0,0.1,REGULAR,1645747200,1645723092,1.44140904296875,False
32,AMZN220225P02120000,2120.0,USD,1.29,0.0,0.0,2.0,1,0.0,0.23,REGULAR,1645747200,1644003921,1.5234398828124998,False
