,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
0,FB220225P00100000,100.0,USD,0.01,0.0,0.0,1.0,214,0.0,0.01,REGULAR,1645747200,1645562583,2.93750265625,False
1,FB220225P00120000,120.0,USD,0.01,0.0,0.0,24.0,86,0.0,0.01,REGULAR,1645747200,1645203677,2.1875045312499997,False
2,FB220225P00125000,125.0,USD,0.01,0.0,0.0,1.0,8,0.0,0.01,REGULAR,1645747200,1645540602,2.0625048437499998,False
3,FB220225P00130000,130.0,USD,0.01,0.0,0.0,51.0,268,0.0,0.01,REGULAR,1645747200,1645629880,1.875000625,False
4,FB220225P00135000,135.0,USD,0.03,0.01,50.0,2.0,288,0.0,0.01,REGULAR,1645747200,1645724677,1.75000125,False
5,FB220225P00140000,140.0,USD,0.01,0.0,0.0,1.0,293,0.0,0.01,REGULAR,1645747200,1645721831,1.5625021874999998,False
6,FB220225P00145000,145.0,USD,0.01,0.0,0.0,2.0,1620,0.0,0.01,REGULAR,1645747200,1645716410,1.4375028125,False
7,FB220225P00150000,150.0,USD,0.01,0.0,0.0,265.0,1865,0.0,0.01,REGULAR,1645747200,1645721533,1.3125034374999998,False
8,FB220225P00160000,160.0,USD,0.01,0.0,0.0,668.0,2579,0.01,0.02,REGULAR,1645747200,1645727161,1.140629296875,False
9,FB220225P00165000,165.0,USD,0.02,-0.01,-33.333336,403.0,1053,0.02,0.03,REGULAR,1645747200,1645726865,1.0625046875000002,False
10,FB220225P00170000,170.0,USD,0.04,0.01,33.333336,653.0,1135,0.03,0.04,REGULAR,1645747200,1645727320,0.9609378906249999,False
11,FB220225P00172500,172.5,USD,0.04,-0.010000002,-20.000004,268.0,832,0.03,0.04,REGULAR,1645747200,1645723106,0.8828136718749999,False
12,FB220225P00175000,175.0,USD,0.05,-0.009999998,-16.666664,498.0,978,0.04,0.05,REGULAR,1645747200,1645727094,0.8398453515625,False
13,FB220225P00177500,177.5,USD,0.06,-0.040000003,-40.000004,1745.0,556,0.05,0.06,REGULAR,1645747200,1645726405,0.7851583984375,False
14,FB220225P00180000,180.0,USD,0.08,-0.049999997,-38.461536,2860.0,2893,0.07,0.08,REGULAR,1645747200,1645726737,0.7421900781249999,False
15,FB220225P00182500,182.5,USD,0.12,-0.080000006,-40.000004,1844.0,1074,0.11,0.12,REGULAR,1645747200,1645727246,0.7128934960937501,False
16,FB220225P00185000,185.0,USD,0.19,-0.14000002,-42.424248,5367.0,2018,0.16,0.19,REGULAR,1645747200,1645727047,0.6816438085937502,False
17,FB220225P00187500,187.5,USD,0.29,-0.26000002,-47.272728,3189.0,2577,0.29,0.3,REGULAR,1645747200,1645727412,0.6650424121093752,False
18,FB220225P00190000,190.0,USD,0.49,-0.34999996,-41.666664,20898.0,5358,0.48,0.51,REGULAR,1645747200,1645727422,0.6513706738281251,False
