,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
0,AAPL220225P00105000,105.0,USD,0.01,0.0,0.0,29.0,1058,0.0,0.01,REGULAR,1645747200,1645735171,2.750003125,False
1,AAPL220225P00110000,110.0,USD,0.01,0.0,0.0,1.0,585,0.0,0.01,REGULAR,1645747200,1645627456,2.43750390625,False
2,AAPL220225P00115000,115.0,USD,0.02,0.0,0.0,212.0,2348,0.0,0.01,REGULAR,1645747200,1645713585,2.1875045312499997,False
3,AAPL220225P00120000,120.0,USD,0.01,0.0,0.0,106.0,3107,0.0,0.01,REGULAR,1645747200,1645727461,1.9375003125,False
4,AAPL220225P00125000,125.0,USD,0.01,0.0,0.0,768.0,2044,0.0,0.01,REGULAR,1645747200,1645721432,1.6875015625,False
5,AAPL220225P00130000,130.0,USD,0.01,0.0,0.0,372.0,2250,0.0,0.01,REGULAR,1645747200,1645727077,1.46875265625,False
6,AAPL220225P00135000,135.0,USD,0.01,0.0,0.0,35.0,3038,0.0,0.01,REGULAR,1645747200,1645800608,1.2500037499999999,False
7,AAPL220225P00140000,140.0,USD,0.01,0.0,0.0,15.0,8398,0.0,0.01,REGULAR,1645747200,1645802925,1.0312548437500002,False
8,AAPL220225P00145000,145.0,USD,0.01,0.0,0.0,26.0,5511,0.0,0.01,REGULAR,1645747200,1645800534,0.8125018749999999,False
9,AAPL220225P00146000,146.0,USD,0.01,0.0,0.0,223.0,1420,0.0,0.01,REGULAR,1645747200,1645802229,0.7812521875,False
10,AAPL220225P00147000,147.0,USD,0.01,-0.01,-50.0,11.0,2011,0.0,0.01,REGULAR,1645747200,1645802162,0.7187528125,False
11,AAPL220225P00148000,148.0,USD,0.01,-0.01,-50.0,125.0,2858,0.0,0.01,REGULAR,1645747200,1645801002,0.6875031250000001,False
12,AAPL220225P00149000,149.0,USD,0.01,-0.02,-66.66667,13.0,5550,0.0,0.01,REGULAR,1645747200,1645803660,0.64062859375,False
13,AAPL220225P00150000,150.0,USD,0.01,-0.03,-75.0,1867.0,20579,0.0,0.01,REGULAR,1645747200,1645803881,0.5937540625000001,False
14,AAPL220225P00152500,152.5,USD,0.01,-0.049999997,-83.33333,3341.0,8224,0.01,0.02,REGULAR,1645747200,1645804167,0.5625043750000001,False
15,AAPL220225P00155000,155.0,USD,0.02,-0.07000001,-77.77779,8317.0,22061,0.02,0.03,REGULAR,1645747200,1645804261,0.48828636718750007,False
16,AAPL220225P00157500,157.5,USD,0.03,-0.15,-83.33333,9819.0,16815,0.04,0.05,REGULAR,1645747200,1645804226,0.39063109375,False
