,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
0,MSFT220225P00200000,200.0,USD,0.01,0.0,0.0,64.0,396,0.0,0.01,REGULAR,1645747200,1645727394,2.3125042187499996,False
1,MSFT220225P00205000,205.0,USD,0.01,-0.01,-50.0,1.0,295,0.0,0.03,REGULAR,1645747200,1645801519,2.4062539843749997,False
2,MSFT220225P00210000,210.0,USD,0.01,0.0,0.0,25.0,266,0.0,0.01,REGULAR,1645747200,1645546514,2.0625048437499998,False
3,MSFT220225P00215000,215.0,USD,0.04,0.0,0.0,104.0,280,0.0,0.05,REGULAR,1645747200,1645714630,2.2031294921874993,False
4,MSFT220225P00220000,220.0,USD,0.01,0.0,0.0,50.0,433,0.0,0.03,REGULAR,1645747200,1645718468,1.96875015625,False
5,MSFT220225P00225000,225.0,USD,0.01,0.0,0.0,6.0,265,0.0,0.01,REGULAR,1645747200,1645718584,1.6875015625,False
6,MSFT220225P00230000,230.0,USD,0.01,0.0,0.0,234.0,745,0.0,0.03,REGULAR,1645747200,1645729229,1.6875015625,False
7,MSFT220225P00235000,235.0,USD,0.01,0.0,0.0,1.0,1188,0.0,0.01,REGULAR,1645747200,1645801109,1.4375028125,False
8,MSFT220225P00240000,240.0,USD,0.01,0.0,0.0,437.0,762,0.0,0.01,REGULAR,1645747200,1645735789,1.3125034374999998,False
9,MSFT220225P00245000,245.0,USD,0.01,0.0,0.0,500.0,1451,0.0,0.03,REGULAR,1645747200,1645735188,1.2968785156249998,False
10,MSFT220225P00250000,250.0,USD,0.01,0.0,0.0,42.0,3649,0.0,0.01,REGULAR,1645747200,1645802708,1.0625046875000002,False
11,MSFT220225P00255000,255.0,USD,0.01,-0.01,-50.0,36.0,1365,0.0,0.01,REGULAR,1645747200,1645803922,0.937500625,False
12,MSFT220225P00257500,257.5,USD,0.02,-0.02,-50.0,12.0,535,0.0,0.03,REGULAR,1645747200,1645801121,0.98437515625,False
13,MSFT220225P00260000,260.0,USD,0.01,-0.02,-66.66667,158.0,2140,0.0,0.02,REGULAR,1645747200,1645804492,0.8906260937499999,False
14,MSFT220225P00262500,262.5,USD,0.01,-0.01,-50.0,16.0,388,0.0,0.01,REGULAR,1645747200,1645803615,0.7812521875,False
15,MSFT220225P00265000,265.0,USD,0.01,-0.02,-66.66667,409.0,3193,0.0,0.01,REGULAR,1645747200,1645804414,0.7187528125,False
16,MSFT220225P00267500,267.5,USD,0.01,-0.03,-75.0,48.0,857,0.0,0.02,REGULAR,1645747200,1645802894,0.70312796875,False
17,MSFT220225P00270000,270.0,USD,0.03,-0.01,-25.0,934.0,5564,0.0,0.02,REGULAR,1645747200,1645804414,0.648441015625,False
18,MSFT220225P00272500,272.5,USD,0.02,-0.04,-66.66667,427.0,1699,0.0,0.01,REGULAR,1645747200,1645803254,0.5468795312500001,False
19,MSFT220225P00275000,275.0,USD,0.01,-0.080000006,-88.88889,839.0,3225,0.0,0.01,REGULAR,1645747200,1645804373,0.500005,False
20,MSFT220225P00277500,277.5,USD,0.02,-0.11,-84.61539,310.0,1777,0.02,0.02,REGULAR,1645747200,1645804655,0.507817421875,False
21,MSFT220225P00280000,280.0,USD,0.03,-0.15,-83.33333,1113.0,4373,0.02,0.03,REGULAR,1645747200,1645804680,0.4726615234375,False
22,MSFT220225P00282500,282.5,USD,0.04,-0.29000002,-87.87879,1205.0,2141,0.03,0.04,REGULAR,1645747200,1645804616,0.42188078125,False
23,MSFT220225P00285000,285.0,USD,0.05,-0.36999997,-88.09524,1224.0,3620,0.05,0.06,REGULAR,1645747200,1645804670,0.37500625,False
24,MSFT220225P00287500,287.5,USD,0.11,-0.53999996,-83.07692,1672.0,2241,0.1,0.11,REGULAR,1645747200,1645804708,0.33887379882812496,False
25,MSFT220225P00290000,290.0,USD,0.24,-0.83000004,-77.57009,6580.0,4483,0.3,0.32,REGULAR,1645747200,1645804662,0.33789724609375,False
26,MSFT220225P00292500,292.5,USD,0.6,-1.0,-62.5,3229.0,1345,0.66,0.69,REGULAR,1645747200,1645804632,0.31836619140624994,False
27,MSFT220225P00295000,295.0,USD,1.42,-1.13,-44.313725,1756.0,1329,1.27,1.35,REGULAR,1645747200,1645804671,0.2910227148437499,False
28,MSFT220225P00297500,297.5,USD,2.78,-1.2700002,-31.358028,412.0,750,2.84,2.96,REGULAR,1645747200,1645804513,0.34058276611328125,True
29,MSFT220225P00300000,300.0,USD,4.65,-1.31,-21.979866,187.0,1368,4.6,5.05,REGULAR,1645747200,1645804534,0.4094297338867187,True
30,MSFT220225P00302500,302.5,USD,8.56,0.1600008,1.9047716,35.0,434,6.8,7.45,REGULAR,1645747200,1645803499,0.5083056982421875,True
31,MSFT220225P00305000,305.0,USD,9.38,-1.8199997,-16.249998,213.0,1284,9.25,9.95,REGULAR,1645747200,1645804476,0.52539537109375,True
32,MSFT220225P00307500,307.5,USD,12.48,-0.6100006,-4.6600504,23.0,486,11.6,12.6,REGULAR,1645747200,1645803881,0.6201209863281252,True
33,MSFT220225P00310000,310.0,USD,15.55,-0.52999973,-3.2960184,16.0,514,14.25,15.2,REGULAR,1645747200,1645803636,0.7514673291015624,True
34,MSFT220225P00312500,312.5,USD,17.0,-1.0499992,-5.8171706,3.0,55,16.6,17.65,REGULAR,1645747200,1645799436,0.8061542822265625,True
35,MSFT220225P00315000,315.0,USD,19.85,-1.8899994,-8.693649,12.0,208,19.4,20.0,REGULAR,1645747200,1645803028,0.918946123046875,True
36,MSFT220225P00317500,317.5,USD,21.7,-4.6799984,-17.740707,1.0,123,21.6,22.55,REGULAR,1645747200,1645734733,0.9521489160156249,True
37,MSFT220225P00320000,320.0,USD,24.62,-4.49,-15.424252,14.0,4072,24.35,25.05,REGULAR,1645747200,1645804578,1.083988955078125,True
38,MSFT220225P00322500,322.5,USD,35.15,0.0,0.0,7.0,8,26.65,27.5,REGULAR,1645747200,1645209916,1.1084028955078127,True
39,MSFT220225P00325000,325.0,USD,30.37,-7.129999,-19.013332,11.0,2072,29.4,30.1,REGULAR,1645747200,1645802010,1.2622107202148438,True
40,MSFT220225P00327500,327.5,USD,31.45,-9.950001,-24.033817,3.0,2,31.65,32.5,REGULAR,1645747200,1645804130,1.2568396533203123,True
41,MSFT220225P00330000,330.0,USD,45.33,0.0,0.0,53.0,88,34.1,35.3,REGULAR,1645747200,1645722233,1.3911163256835937,True
42,MSFT220225P00332500,332.5,USD,49.25,0.0,0.0,10.0,13,36.65,37.45,REGULAR,1645747200,1645211316,1.3867218164062498,True
43,MSFT220225P00335000,335.0,USD,40.42,-5.75,-12.453975,10.0,51,38.75,40.1,REGULAR,1645747200,1645802010,1.3789093554687497,True
44,MSFT220225P00340000,340.0,USD,49.11,0.0,0.0,117.0,0,44.05,45.05,REGULAR,1645747200,1645734618,1.5908223583984373,True
45,MSFT220225P00342500,342.5,USD,48.95,0.0,0.0,,0,46.45,47.65,REGULAR,1645747200,1645124944,1.65625171875,True
46,MSFT220225P00345000,345.0,USD,51.11,0.0,0.0,2.0,0,48.7,50.05,REGULAR,1645747200,1645120065,1.5976582617187498,True
47,MSFT220225P00350000,350.0,USD,54.12,0.0,0.0,1.0,0,53.9,55.25,REGULAR,1645747200,1643995630,1.865235048828125,True
48,MSFT220225P00355000,355.0,USD,55.69,0.0,0.0,1.0,0,58.85,60.15,REGULAR,1645747200,1644935422,1.935547197265625,True
49,MSFT220225P00360000,360.0,USD,60.68,0.0,0.0,1.0,0,64.0,64.95,REGULAR,1645747200,1644935422,2.0351611621093753,True
50,MSFT220225P00365000,365.0,USD,77.45,0.0,0.0,3.0,0,68.9,70.1,REGULAR,1645747200,1645559341,2.1699264501953124,True
51,MSFT220225P00375000,375.0,USD,72.55,0.0,0.0,2.0,0,79.05,80.25,REGULAR,1645747200,1643218408,2.5117224707031247,True
