,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney
0,VOO220318P00240000,240.0,USD,0.3,0.0,0.0,10.0,10,0.0,0.75,REGULAR,1647561600,1643401336,0.954102021484375,False
1,VOO220318P00275000,275.0,USD,0.2,0.0,0.0,,7,0.05,0.2,REGULAR,1647561600,1645023731,0.6269568554687501,False
2,VOO220318P00280000,280.0,USD,0.2,0.0,0.0,1.0,5,0.0,0.3,REGULAR,1647561600,1644942358,0.6123085644531252,False
3,VOO220318P00285000,285.0,USD,0.25,0.049999997,24.999998,1.0,9,0.0,0.45,REGULAR,1647561600,1645647604,0.6171913281250001,False
4,VOO220318P00290000,290.0,USD,0.25,0.0,0.0,54.0,72,0.0,0.75,REGULAR,1647561600,1645645575,0.6333044482421876,False
5,VOO220318P00300000,300.0,USD,0.7,0.0,0.0,1.0,5,0.1,0.75,REGULAR,1647561600,1645727012,0.585941640625,False
6,VOO220318P00305000,305.0,USD,0.25,-0.75,-75.0,2.0,7,0.1,0.4,REGULAR,1647561600,1645804275,0.5136767382812499,False
7,VOO220318P00310000,310.0,USD,0.9,0.0,0.0,3.0,3,0.1,0.75,REGULAR,1647561600,1645723879,0.5278367529296876,False
8,VOO220318P00320000,320.0,USD,0.65,-0.39,-37.5,4.0,28,0.2,0.8,REGULAR,1647561600,1645799402,0.5268602001953125,False
9,VOO220318P00330000,330.0,USD,0.85,0.0,0.0,778.0,779,0.3,1.05,REGULAR,1647561600,1645735328,0.49255878540039066,False
10,VOO220318P00335000,335.0,USD,1.9,0.0,0.0,10.0,15,0.45,1.3,REGULAR,1647561600,1645725403,0.4836477416992188,False
11,VOO220318P00340000,340.0,USD,1.14,0.0,0.0,25.0,37,0.65,0.75,REGULAR,1647561600,1645736112,0.40064075927734377,False
12,VOO220318P00345000,345.0,USD,1.71,0.0,0.0,4.0,39,0.8,1.05,REGULAR,1647561600,1645733188,0.39893179199218753,False
13,VOO220318P00350000,350.0,USD,1.1,-0.65,-37.142857,5.0,196,1.0,1.1,REGULAR,1647561600,1645804779,0.3719545227050781,False
14,VOO220318P00355000,355.0,USD,3.5,0.0,0.0,20.0,163,1.3,1.6,REGULAR,1647561600,1645727877,0.3746400427246094,False
15,VOO220318P00360000,360.0,USD,1.9,-0.5000001,-20.833338,151.0,5878,1.6,1.8,REGULAR,1647561600,1645802997,0.3529117443847656,False
16,VOO220318P00365000,365.0,USD,2.5,-0.70000005,-21.875002,75.0,147,2.0,2.3,REGULAR,1647561600,1645802389,0.3438175970458984,False
17,VOO220318P00370000,370.0,USD,2.9,-0.98,-25.25773,2.0,202,2.55,2.95,REGULAR,1647561600,1645803769,0.33576103698730464,False
18,VOO220318P00375000,375.0,USD,4.0,-0.6999998,-14.893615,79.0,960,3.0,3.7,REGULAR,1647561600,1645802432,0.3255072332763671,False
19,VOO220318P00380000,380.0,USD,4.32,-1.48,-25.51724,4.0,220,4.2,4.5,REGULAR,1647561600,1645804876,0.3111030804443359,False
20,VOO220318P00385000,385.0,USD,5.8,-1.5999999,-21.62162,6.0,260,5.1,5.5,REGULAR,1647561600,1645803121,0.29718720397949216,False
21,VOO220318P00390000,390.0,USD,7.21,-1.4899998,-17.126434,312.0,1159,6.4,6.9,REGULAR,1647561600,1645802955,0.287970987548828,False
22,VOO220318P00395000,395.0,USD,10.1,-0.6999998,-6.48148,1.0,105,7.8,8.6,REGULAR,1647561600,1645800274,0.2788158056640625,False
23,VOO220318P00400000,400.0,USD,9.9,-2.8000002,-22.047247,139.0,279,9.6,10.6,REGULAR,1647561600,1645804564,0.26865355377197264,True
24,VOO220318P00405000,405.0,USD,15.0,-7.799999,-34.210526,1.0,145,12.0,13.1,REGULAR,1647561600,1645719520,0.26178716735839846,True
25,VOO220318P00410000,410.0,USD,15.7,-6.000001,-27.649775,202.0,336,15.0,16.0,REGULAR,1647561600,1645804000,0.25525647094726567,True
26,VOO220318P00415000,415.0,USD,36.1,0.0,0.0,9.0,74,18.3,19.3,REGULAR,1647561600,1645713568,0.24909198181152342,True
27,VOO220318P00420000,420.0,USD,36.23,0.0,0.0,1.0,39,21.7,23.5,REGULAR,1647561600,1645722713,0.2611157873535156,True
28,VOO220318P00425000,425.0,USD,37.0,0.0,0.0,1.0,12,25.6,28.4,REGULAR,1647561600,1645647153,0.2919992675781249,True
29,VOO220318P00430000,430.0,USD,45.7,0.0,0.0,1.0,179,30.5,33.7,REGULAR,1647561600,1645729313,0.33570000244140624,True
30,VOO220318P00435000,435.0,USD,18.99,0.0,0.0,5.0,0,35.6,38.3,REGULAR,1647561600,1644511422,0.3518741571044921,True
31,VOO220318P00440000,440.0,USD,53.0,0.0,0.0,29.0,1,40.5,43.5,REGULAR,1647561600,1645731031,0.3898376446533204,True
32,VOO220318P00450000,450.0,USD,44.0,0.0,0.0,,1,50.6,53.7,REGULAR,1647561600,1644815413,0.455632885131836,True
33,VOO220318P00490000,490.0,USD,95.5,-1.5,-1.5463917,20.0,0,90.8,94.0,REGULAR,1647561600,1645801091,0.5847209497070311,True
