,contractSymbol,strike,currency,lastPrice,change,percentChange,openInterest,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,bid,volume
0,Z220225P00025000,25.0,USD,0.02,0.0,0.0,1,0.01,REGULAR,1645747200,1644815626,5.62500296875,False,,
1,Z220225P00030000,30.0,USD,0.03,0.0,0.0,50,0.03,REGULAR,1645747200,1644815626,4.687504140625,False,0.0,
2,Z220225P00033000,33.0,USD,0.01,0.0,0.0,151,0.03,REGULAR,1645747200,1644849347,4.000005,False,0.0,2.0
3,Z220225P00034000,34.0,USD,0.04,0.0,0.0,23,0.03,REGULAR,1645747200,1644851273,3.81250046875,False,0.0,20.0
4,Z220225P00035000,35.0,USD,0.01,0.0,0.0,373,0.03,REGULAR,1645747200,1645736153,3.6250009375000003,False,0.0,51.0
5,Z220225P00037000,37.0,USD,0.06,0.0,0.0,30,0.03,REGULAR,1645747200,1644852039,3.2500018749999997,False,0.0,
6,Z220225P00038000,38.0,USD,0.05,0.0,0.0,5,0.01,REGULAR,1645747200,1644935893,2.750003125,False,0.0,
7,Z220225P00039000,39.0,USD,0.01,0.0,0.0,36,0.03,REGULAR,1645747200,1645544769,2.8750028125,False,0.0,26.0
8,Z220225P00040000,40.0,USD,0.05,0.0,0.0,266,0.01,REGULAR,1645747200,1645207029,2.3750040624999995,False,0.0,15.0
9,Z220225P00041000,41.0,USD,0.01,0.0,0.0,55,0.03,REGULAR,1645747200,1645194612,2.50000375,False,0.0,40.0
10,Z220225P00041500,41.5,USD,0.02,0.0,0.0,46,0.03,REGULAR,1645747200,1645202907,2.43750390625,False,0.0,1.0
11,Z220225P00042000,42.0,USD,0.01,0.0,0.0,86,0.03,REGULAR,1645747200,1645640489,2.3437541406249993,False,0.0,13.0
12,Z220225P00042500,42.5,USD,0.02,0.0,0.0,1280,0.03,REGULAR,1645747200,1645215059,2.2500043749999996,False,0.0,6.0
13,Z220225P00043000,43.0,USD,0.02,0.0,0.0,71,0.03,REGULAR,1645747200,1645647470,2.1875045312499997,False,0.0,20.0
14,Z220225P00043500,43.5,USD,0.02,0.0,0.0,102,0.03,REGULAR,1645747200,1645720867,2.0937547656249995,False,0.0,48.0
15,Z220225P00044000,44.0,USD,0.01,0.0,0.0,227,0.01,REGULAR,1645747200,1645720490,1.75000125,False,0.0,612.0
16,Z220225P00044500,44.5,USD,0.03,0.0,0.0,35,0.03,REGULAR,1645747200,1645718805,1.9375003125,False,0.0,1.0
17,Z220225P00045000,45.0,USD,0.02,0.0,0.0,109,0.01,REGULAR,1645747200,1645732989,1.625001875,False,0.0,12.0
